,0
0,2451385.2860163595
1,2298484.0921066874
2,1179108.1054027772
3,871608.7417810683
4,1162695.6357219387
5,999706.9558968625
6,1190913.5144374168
7,1175229.5409089176
8,941383.4206988794
9,971428.3225642991
10,489235.8539317022
11,931112.5504885743
12,986603.4314992661
13,941366.7378166107
14,252700.46140091153
15,372753.0628435577
16,739268.4550183481
17,547704.9303129953
18,341897.0741124487
19,605161.2241528104
