,0
0,2451407.8362848787
1,2188166.0442279107
2,2092336.1718878036
3,2077210.0457311473
4,2071280.2513993871
5,2060660.9697754467
6,2060016.303532353
7,2059349.5815412945
8,2060247.2677256365
9,2059179.8717592673
10,2057929.2639576558
11,2057643.9589700543
12,2055784.1170164137
13,2055017.5077514711
14,2054558.562831887
15,2053933.187638796
16,2053970.3318793022
17,2053759.8194971662
18,2053737.4178582872
19,2053165.8415081187
