,0
0,2451385.2860163813
1,2188109.668556668
2,2092245.9708138148
3,2077086.0192544127
4,2071122.3995199068
5,2060469.2924932207
6,2059790.8008473811
7,2059090.253453577
8,2059954.1142351732
9,2058852.8928660583
10,2057568.4596617008
11,2057249.3292713535
12,2055355.6619149672
13,2054555.227247279
14,2054062.456924949
15,2053403.2563291122
16,2053406.5751668727
17,2053162.237381991
18,2053106.010340366
19,2052500.6085874517
