,0
0,2451407.836284857
1,2298563.0180464275
2,1179265.9572822575
3,871868.0698687858
4,1163078.9902863908
5,1000236.8872065463
6,1191612.5727608295
7,1176120.2765145563
8,942488.3838552412
9,972770.0635398814
10,490836.92299500207
11,932995.497908089
12,988790.8075434926
13,943881.0927540464
14,255564.34550005352
15,375989.02637290314
16,742899.0482463941
17,551752.7035082394
18,346384.5775433877
19,610111.0080879417
