,index,mean,std,Unidade
0,Frequência do AVV,35.66917766864914,28.126206508359004,Hz
1,Temperatura do motor da BCS,103.55522981969749,25.108981952136748,ºC
2,Pressão na Entrada da BCS,119.97520052006638,55.67218996815489,Bar
3,Fração de água @ ,0.4831242832811439,0.31897244957014564,%
4,Temperatura na Entrada da BCS,81.40235585974052,7.918445400952705,ºC
5,Pressão de Descarga da BCS,211.48319017986756,43.465710682268465,Bar
6,Abertura da Válvula,0.2369164943179715,0.2066258524004452,%
7,Pressão na Cabeça do Poço,13.53970294280955,8.7345280113827,Bar
8,Temperatura na Cabeça do Poço,58.203659811216,28.965299809674622,ºC
9,Poço Alinhado a A,0.4816820285026837,0.49966452421030044,bool
10,Poço Alinhado a b,0.416900775183622,0.49304656751763964,bool
11,Tensão do Motor da BCS,2.676430751184015,2.095460671059781,V
12,Poço desativado,0.3779379981088748,0.4848721896434526,str
13,Módulo da Corrente na BCS,109.66538118719139,88.78289972935728,ESP Current Module
14,Módulo da Vibração na BCS,0.24821063806437405,0.4184267964618081,g
